m,n,i,yao_result,classic_known,status,last_timestamp,last_csv
5,5,0,4,4,equal,2026-03-04T11:32:39+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
5,5,1,6,6,equal,2026-03-04T11:32:42+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
5,5,2,6,6,equal,2026-03-04T11:32:44+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
6,5,0,4,4,equal,2026-03-01T19:11:38+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
6,5,1,6,6,equal,2026-03-01T19:11:56+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
6,5,2,6,6,equal,2026-03-01T19:19:23+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
7,5,0,4,4,equal,2026-03-01T19:11:39+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
7,5,1,6,6,equal,2026-03-01T19:11:56+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
7,5,2,6,6,equal,2026-03-01T19:19:24+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,5,0,4,4,equal,2026-03-01T19:11:39+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,5,1,6,6,equal,2026-03-01T19:11:57+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,5,2,6,6,equal,2026-03-01T19:19:25+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,5,0,4,4,equal,2026-03-01T19:11:40+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,5,1,6,6,equal,2026-03-01T19:11:58+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,5,2,6,6,equal,2026-03-01T19:19:25+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,5,0,4,4,equal,2026-03-04T11:32:41+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,5,1,6,6,equal,2026-03-04T11:32:43+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,5,2,6,6,equal,2026-03-04T11:32:46+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
6,6,0,5,5,equal,2026-03-04T11:35:10+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
6,6,1,7,7,equal,2026-03-04T11:35:12+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
6,6,2,8,8,equal,2026-03-04T11:35:15+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
7,6,0,5,5,equal,2026-03-01T19:11:40+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
7,6,1,7,7,equal,2026-03-01T19:11:58+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
7,6,2,8,8,equal,2026-03-01T19:19:26+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,6,0,5,5,equal,2026-03-01T19:11:41+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,6,1,7,7,equal,2026-03-01T19:11:59+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,6,2,8,8,equal,2026-03-01T19:19:27+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,6,0,5,5,equal,2026-03-01T19:11:42+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,6,1,7,7,equal,2026-03-01T19:11:59+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,6,2,8,8,equal,2026-03-01T19:19:28+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,6,0,5,5,equal,2026-03-01T19:11:42+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,6,1,7,7,equal,2026-03-01T19:12:00+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,6,2,8,8,equal,2026-03-01T19:19:29+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
11,6,0,5,5,equal,2026-03-04T11:35:11+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
11,6,1,7,7,equal,2026-03-04T11:35:13+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
11,6,2,8,8,equal,2026-03-04T11:35:16+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
12,6,0,5,5,equal,2026-03-04T11:35:12+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
12,6,1,7,7,equal,2026-03-04T11:35:14+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
12,6,2,8,8,equal,2026-03-04T11:35:17+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
7,7,0,6,6,equal,2026-03-04T11:37:43+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
7,7,1,8,8,equal,2026-03-04T11:37:47+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
7,7,2,10,10,equal,2026-03-04T11:37:50+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
7,7,3,10,10,equal,2026-03-04T11:38:00+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,7,0,6,6,equal,2026-03-01T19:11:43+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,7,1,8,8,equal,2026-03-01T19:12:00+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,7,2,10,10,equal,2026-03-01T19:19:30+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,7,3,10,10,equal,2026-03-01T20:42:54+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,7,0,6,6,equal,2026-03-01T19:11:43+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,7,1,8,8,equal,2026-03-01T19:12:01+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,7,2,10,10,equal,2026-03-01T19:19:31+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,7,3,10,10,equal,2026-03-01T20:42:56+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,7,0,6,6,equal,2026-03-01T19:11:44+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,7,1,8,8,equal,2026-03-01T19:12:02+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,7,2,10,10,equal,2026-03-01T19:19:33+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,7,3,10,10,equal,2026-03-01T20:42:58+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
11,7,0,6,6,equal,2026-03-01T19:11:44+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
11,7,1,8,8,equal,2026-03-01T19:12:02+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
11,7,2,10,10,equal,2026-03-01T19:19:35+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
11,7,3,10,10,equal,2026-03-01T20:43:00+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
12,7,0,6,6,equal,2026-03-04T11:37:44+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
12,7,1,8,8,equal,2026-03-04T11:37:48+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
12,7,2,10,10,equal,2026-03-04T11:37:53+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
12,7,3,10,10,equal,2026-03-04T11:38:03+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
13,7,0,6,6,equal,2026-03-04T11:37:45+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
13,7,1,8,8,equal,2026-03-04T11:37:49+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
13,7,2,10,10,equal,2026-03-04T11:37:56+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
13,7,3,10,10,equal,2026-03-04T11:38:08+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
14,7,0,6,6,equal,2026-03-04T11:37:46+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
14,7,1,8,8,equal,2026-03-04T11:37:50+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
14,7,2,10,10,equal,2026-03-04T11:37:59+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
14,7,3,10,10,equal,2026-03-04T11:38:13+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,8,0,7,7,equal,2026-03-04T11:39:27+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,8,1,9,9,equal,2026-03-04T11:39:32+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,8,2,11,11,equal,2026-03-04T11:39:41+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
8,8,3,12,12,equal,2026-03-04T11:40:46+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,8,0,7,7,equal,2026-03-01T19:11:45+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,8,1,9,9,equal,2026-03-01T19:12:03+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,8,2,11,11,equal,2026-03-01T19:19:38+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
9,8,3,12,12,equal,2026-03-01T20:43:05+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,8,0,7,7,equal,2026-03-01T19:11:46+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,8,1,9,9,equal,2026-03-01T19:12:04+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,8,2,11,11,equal,2026-03-01T19:19:42+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
10,8,3,12,12,equal,2026-03-01T20:43:14+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
11,8,0,7,7,equal,2026-03-01T19:11:46+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
11,8,1,9,9,equal,2026-03-01T19:12:06+01:00,logs/yao/yao_sweep_20260301_191054_469542.csv
