timestamp,m,n,i,yao_result,classic_known,status
2026-02-12T17:25:21+01:00,6,5,0,4,4,equal
2026-02-12T17:25:21+01:00,6,5,1,6,6,equal
2026-02-12T17:25:21+01:00,6,5,2,6,6,equal
2026-02-12T17:25:21+01:00,7,5,0,4,4,equal
2026-02-12T17:25:21+01:00,7,5,1,6,6,equal
2026-02-12T17:25:21+01:00,7,5,2,6,6,equal
2026-02-12T17:25:21+01:00,8,5,0,4,4,equal
2026-02-12T17:25:21+01:00,8,5,1,6,6,equal
2026-02-12T17:25:21+01:00,8,5,2,6,6,equal
2026-02-12T17:25:21+01:00,9,5,0,4,4,equal
2026-02-12T17:25:21+01:00,9,5,1,6,6,equal
2026-02-12T17:25:21+01:00,9,5,2,6,6,equal
2026-02-12T17:25:21+01:00,7,6,0,5,5,equal
2026-02-12T17:25:21+01:00,7,6,1,7,7,equal
2026-02-12T17:25:21+01:00,7,6,2,8,8,equal
2026-02-12T17:25:21+01:00,8,6,0,5,5,equal
2026-02-12T17:25:21+01:00,8,6,1,7,7,equal
2026-02-12T17:25:21+01:00,8,6,2,8,8,equal
2026-02-12T17:25:21+01:00,9,6,0,5,5,equal
2026-02-12T17:25:21+01:00,9,6,1,7,7,equal
2026-02-12T17:25:22+01:00,9,6,2,8,8,equal
2026-02-12T17:25:22+01:00,10,6,0,5,5,equal
2026-02-12T17:25:22+01:00,10,6,1,7,7,equal
2026-02-12T17:25:22+01:00,10,6,2,8,8,equal
2026-02-12T17:25:22+01:00,8,7,0,6,6,equal
2026-02-12T17:25:22+01:00,8,7,1,8,8,equal
2026-02-12T17:25:22+01:00,8,7,2,10,10,equal
2026-02-12T17:25:22+01:00,8,7,3,10,10,equal
2026-02-12T17:25:22+01:00,9,7,0,6,6,equal
2026-02-12T17:25:22+01:00,9,7,1,8,8,equal
2026-02-12T17:25:22+01:00,9,7,2,10,10,equal
2026-02-12T17:25:23+01:00,9,7,3,10,10,equal
2026-02-12T17:25:23+01:00,10,7,0,6,6,equal
2026-02-12T17:25:23+01:00,10,7,1,8,8,equal
2026-02-12T17:25:24+01:00,10,7,2,10,10,equal
2026-02-12T17:25:26+01:00,10,7,3,10,10,equal
2026-02-12T17:25:26+01:00,11,7,0,6,6,equal
2026-02-12T17:25:26+01:00,11,7,1,8,8,equal
2026-02-12T17:25:27+01:00,11,7,2,10,10,equal
2026-02-12T17:25:30+01:00,11,7,3,10,10,equal
2026-02-12T17:25:30+01:00,9,8,0,7,7,equal
2026-02-12T17:25:30+01:00,9,8,1,9,9,equal
2026-02-12T17:25:36+01:00,9,8,2,11,11,equal
2026-02-12T17:33:33+01:00,9,8,3,12,12,equal
